ID Caso;ID Caso Relacionado;Año;Mes;Día;Código DANE de Municipio;Municipio;Departamento;Región;Modalidad;Presunto Responsable;Descripción Presunto Responsable;Abandono o Despojo Forzado de Tierras;Amenaza o Intimidación;Ataque Contra Misión Médica;Confinamiento o Restricción a la Movilidad;Desplazamiento Forzado;Extorsión;Lesionados Civiles;Pillaje;Tortura;Violencia Basada en Género;Otro Hecho Simultáneo;Total de Víctimas del Caso;Tipo de Armas;Latitud;Longitud
100649;CR030032;1998;01;25;25530;PARATEBUENO;CUNDINAMARCA;PIEDEMONTE LLANERO;RUTA;GRUPO PARAMILITAR;AUTODEFENSAS UNIDAS DE COLOMBIA AUC;1;1;0;0;1;1;0;0;2;;VENTA A BAJO PRECIO.;5;ARMA DE FUEGO;4,368158959;-73,2416614
102446;;2007;10;17;27361;ISTMINA;CHOCO;VALLE DE SAN JUAN;ENGAÑO;GRUPO POSDESMOVILIZACIÓN;LOS RASTROJOS;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;4,586818665;-77,00090737
105517;;2005;12;07;44430;MAICAO;LA GUAJIRA;ALTA GUAJIRA;ASALTO;GRUPO PARAMILITAR;AUTODEFENSAS UNIDAS DE COLOMBIA AUC;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;11,378319;-72,241861
105564;;2000;06;18;44430;MAICAO;LA GUAJIRA;ALTA GUAJIRA;SICARIATO;GRUPO PARAMILITAR;AUTODEFENSAS UNIDAS DE COLOMBIA AUC;0;0;0;0;0;0;3;0;0;;;4;ARMA DE FUEGO;11,378319;-72,241861
105630;;2002;06;02;44430;MAICAO;LA GUAJIRA;ALTA GUAJIRA;SICARIATO;GRUPO PARAMILITAR;AUTODEFENSAS UNIDAS DE COLOMBIA AUC;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;11,38157764;-72,29500818
105646;;2002;08;06;44430;MAICAO;LA GUAJIRA;ALTA GUAJIRA;RETENCIÓN/EJECUCIÓN;GRUPO PARAMILITAR;AUTODEFENSAS UNIDAS DE COLOMBIA AUC;0;0;0;0;0;0;0;0;1;;;4;ARMA DE FUEGO;11,378319;-72,241861
106422;;1988;07;12;47001;SANTA MARTA;MAGDALENA;SIERRA NEVADA DE SANTA MARTA;RUTA;GRUPO PARAMILITAR;OTRO;0;0;0;0;0;0;0;0;1;;;5;ND;11,12189436;-73,88527855
107728;CR036098;2002;03;07;47001;SANTA MARTA;MAGDALENA;SIERRA NEVADA DE SANTA MARTA;ASALTO;GRUPO PARAMILITAR;AUTODEFENSAS UNIDAS DE COLOMBIA AUC;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;11,12189436;-73,88527855
108305;;1988;07;12;47189;CIENAGA;MAGDALENA;SIERRA NEVADA DE SANTA MARTA;RUTA;GRUPO PARAMILITAR;OTRO;1;1;0;0;1;0;0;0;2;;;5;ARMA DE FUEGO - OBJETO CONTUNDENTE;10,76964718;-74,02404322
108821;;1994;04;01;47189;CIENAGA;MAGDALENA;SIERRA NEVADA DE SANTA MARTA;ASALTO;GRUPO ARMADO NO IDENTIFICADO;GRUPO ARMADO NO DIRIMIDO;0;0;0;0;1;0;2;1;0;;;7;ARMA DE FUEGO;10,85754552;-74,02500493
109656;;1995;05;21;47268;EL RETEN;MAGDALENA;CIENAGA GRANDE DE SANTA MARTA;ASALTO;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;10,610445;-74,268412
110073;;1993;02;05;47053;ARACATACA;MAGDALENA;SIERRA NEVADA DE SANTA MARTA;RETENCIÓN/EJECUCIÓN;GRUPO PARAMILITAR;OTRO;0;0;0;0;0;0;0;0;1;;;5;ND;10,64490877;-73,87972257
110860;;1997;12;31;47707;SANTA ANA;MAGDALENA;SUR DE MAGDALENA;DESCONOCIDA;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;INTENTO DE OCULTAMIENTO DE CADÁVER;4;ND;9,503097215;-74,44419381
111718;;2002;04;15;50001;VILLAVICENCIO;META;PIEDEMONTE LLANERO;SICARIATO;GRUPO PARAMILITAR;AUTODEFENSAS UNIDAS DE COLOMBIA AUC;0;0;0;0;0;0;0;0;0;;;5;ARMA DE FUEGO;4,127404;-73,627486
11364;;1997;07;03;47189;CIENAGA;MAGDALENA;SIERRA NEVADA DE SANTA MARTA;RETÉN;GUERRILLA;ELN;0;0;0;0;0;0;0;0;2;;;4;ARMA CORTO PUNZANTE - OBJETO CONTUNDENTE;10,76964718;-74,02404322
114972;;1988;11;05;50711;VISTAHERMOSA;META;ARIARI GUAYABERO;INTERCEPTACIÓN;GUERRILLA;NO IDENTIFICADA;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;2,811616698;-73,66652234
